type;name;contact;address;tel;web;infos
kita; Kinderkrippe / Vorschule Shining Stars GmbH;;Meisenrain 1, 8044 Gockhausen;Tel.: 043 355 03 24;www.shining-stars.ch;Kontakt,Ewa Oberholzer,Tel.: 043 355 03 24,Informationen zu:   Kinderkrippe / Vorschule Shining Stars GmbH,Öffnungszeiten,Montag - Freitag, 07.00 - 18.00 Uhr,Zielgruppe,Kinder ab 12 Monaten bis Kinidergarteneintritt,Zusatzangebot,Sprachen: Deutsch, Englisch
kita; Chinderhuus Flügepilz;Verein Chinderhuus Flügepilz ;Bergstrasse 37, 8625 Gossau;Tel.: 044 936 21 76;www.krippe-gossau.ch;"Kontakt,Mirjam  Schneider,Tel.: 044 936 21 76,Informationen zu:   Chinderhuus Flügepilz,Öffnungszeiten,Mo - Fr, 7.15 - 18.15 Uhr,Betreuungszeit,ab 1 Tag pro Woche
Kinder im Alter von 3 Monaten bis 5 Jahre"
kita; Kita Greifensee;;Sandbüelstrasse, 8606 Greifensee;Tel.: 043 497 85 94;www.kita-greifensee.ch;
kita; Kindertagesstätte Vita;;Binzikerstrasse 5, 8627 Grüningen;Tel.: 078 755 91 78;www.kita-vita.ch;Kontakt,Céline  Meier,Tel.: 078 755 91 78,Informationen zu:   Kindertagesstätte Vita,Öffnungszeiten,Mo - Fr 7.00 - 18.30 Uhr,Betreuungszeit,ab 1 Tag pro Woche Kinder im Alter von 3 Monaten bis 5 Jahre
kita; Albis Kinderkrippe nano;Miriam Winiger ;Ebertswilerstrasse 37, 8915 Hausen am Albis;Tel.: 043 466 56 42 / 079 525 34 30;www.albiskinderkrippe-nano.ch;Informationen zu:   Albis Kinderkrippe nano,Öffnungszeiten,Montag - Freitag 07.00 - 18.00 Uhr,Weitere Informationen,Wir legen in der Betreuung Wert auf:,- Bedürfnisorientierter Tagesablauf,- Vielseitiges Erfahrungsgebiet (Malen, Basteln, Musizieren, Backen, Kochen ..),- Gesunde, täglich frisch zubereitete Mahlzeiten,Zielgruppe,3 Monate bis Schuleintritt
kita; Kinderkrippe Schnäggehuus;Krippenleitung Gabi Stiefel ;Ebertswilerstrasse 37, 8915 Hausen am Albis;Tel.: 044 764 10 54;www.hausen.ch;Informationen zu:   Kinderkrippe Schnäggehuus,Öffnungszeiten,Montag - Freitag: 07.00-18.00 Uhr,Zielgruppe,Kinder ab 2 Monaten bis 6 Jahre,Weitere Informationen,Lehrbetrieb und Praktikumsstellen
kita; Chinderhuus Hedingen;;Lettenackerweg 2, 8908 Hedingen;Tel.: 043 817 11 33;www.chinderhuus-hedingen.ch;Informationen zu:   Chinderhuus Hedingen,Öffnungszeiten,Montag-Freitag: 06.30 - 18.30 Uhr,Zielgruppe,4 Monate bis 6 Jahre,Weitere Informationen,Kosten siehe Homepage
kita; Kinderkrippe Wirbelwind Henggart;Karin Rütschi ;Kloster 1, 8444 Henggart;Tel.: 052 301 19 77 / 052 335 16 81;www.wirbelwind-henggart.ch;Informationen zu:   Kinderkrippe Wirbelwind Henggart,Öffnungszeiten,Montag - Freitag 6.45 Uhr - 18.15 Uhr
kita; Chinderhuus Herrliberg;;Schulhausstrasse 45, 8704 Herrliberg;Tel.: 044 915 51 11;www.chinderhuus-herrliberg.ch;
kita; Kiana Krippen;;Forchstrasse 244, 8704 Herrliberg;Tel.: 043 277 51 68;;
kita; Kidsloft KITA;;Schulhausstrasse 24, 8704 Herrliberg;Tel.: 044 915 07 08;www.kidsloft.ch;Kontakt,Susana Binz,Tel.: 044 915 07 08
kita; Kita X;;Schulhausstrasse 35, 8704 Herrliberg;Tel.: 058 211 86 00;www.schule-herrliberg.ch;
kita; Kindertagesstätte Lundy;;Schulstrasse 11, 8442 Hettlingen;Tel.: 052 316 20 22;www.kitalundy.ch;
kita; Kita Meljuk;;Breitestrasse 3, 8340 Hinwil;Tel.: 043 843 03 07;www.meljuk.ch;Kontakt,Martina Schaufelberger-Keller,Tel.: 043 843 03 07,Informationen zu:   Kita Meljuk,Öffnungszeiten,Mo - Fr, 06.30 - 18.15 Uhr
kita; Kindertagesstätte Hirzel;Chalbisau ;8816 Hirzel;Tel.: 044 788 22 44;www.kita-hirzel.ch;
kita; KiTa Hittnau GmbH;;Stationsstrasse 3, 8335 Hittnau;Tel.: 044 950 51 51;www.kita-hittnau.ch;Kontakt,Caroline Mathis, KiTa Leitung,Tel.: 044 950 51 51,Informationen zu:   KiTa Hittnau GmbH,Öffnungszeiten,Montag bis Freitag von 07.00 - 18.15 Uhr,Babys ab 3 Monaten bis zum Schuleintritt
kita; Kita Farbtupf;;Eichtalstrasse 51, 8634 Hombrechtikon;Tel.: 055 264 22 62;www.kita-farbtupf.ch;Kontakt,Caroline Nigg,Tel.: 055 264 22 62
kita;" Kinderkrippe ""Giulis Kinderland""";;Seestrasse 296, 8810 Horgen;Tel.: 043 244 08 32;www.giulis-kinderland.ch;
kita; Kinderkrippe Memo;;Burghaldenstrasse 4, 8810 Horgen;Tel.: 044 725 11 22;www.kinderkrippe-memo.ch;
kita; Kinderkrippe Seestern - Bahnhof;;Kirchstrasse 5, 8810 Horgen;Tel.: 043 244 06 06;www.kinderkrippe-seestern.ch;
kita; Kinderkrippe Seestern - Promenade;;Seestrasse 264, 8810 Horgen;Tel.: 043 244 06 06;www.kinderkrippe-seestern.ch;
kita; KiTa Berghalden;;Rainweg 11, 8810 Horgen;Tel.: 044 725 76 10;www.horgen.ch;
kita; Kita Glückspilze;;Seestrasse 202, 8810 Horgen;Tel.: 079 771 68 73;www.glueckspilze.ch;
kita; KiTa Stockerstrasse;;Stockerstrasse 20, 8810 Horgen;Tel.: 043 244 07 81;www.horgen.ch;
kita; Teddy English Kids Clubs Kinderkrippe;Sophia Keki ;Poststrasse 13, 8115 Hüttikon;Tel.: 079 595 22 86;www.teddykidsclub.com;Informationen zu:   Teddy English Kids Clubs Kinderkrippe,Öffnungszeiten,Deutsch + Englisch
kita; Kindertagesstätte Illnau;;Effretikonerstrasse 5, 8308 Illnau;Tel.: 052 346 30 40;www.ilef.ch/jugendfamilie/kinderbetreuung;Kontakt,Céline Wirz,Tel.: 052 346 30 40,Email:,email
kita;" Day School ""Little Star"" ";;Kreuzstrasse 6, 8802 Kilchberg;Tel.: 043 377 54 00 / 079 751 90 29;www.littlestardayschool.com;
kita;" Kinderkrippe ""Happy Kids""";;Alte Landstrasse 134, 8802 Kilchberg;Tel.: 043 377 56 46;;
kita; Kinderkrippe Kilchberg;;Grütstrasse 52, 8802 Kilchberg;Tel.: 044 728 66 13;www.schule-kilchberg.ch;
kita; Kinderkrippe Kilchberg globegarden;;Dorfstrasse 141, 8802 Kilchberg;Tel.: 043 377 53 73;www.globegarden.ch;
kita; Kinderkrippe Spielhuus am See;;Seestrasse 22, 8802 Kilchberg;Tel.: 044 715 07 16;www.spielhuusamsee.ch;
kita; Kinderkrippe Teddy's House;;Böndlerstrasse 29, 8802 Kilchberg;Tel.: 044 715 08 63;www.teddyshouse.ch;
kita; KIMI Giardino AG Standort Flughafen;Carmen Orlovic-Beckmann ;Eugen-Wylerstrasse 1, 8302 Kloten;Tel.: 044 201 10 17;www.kimikrippen.ch;Informationen zu:   KIMI Giardino AG Standort Flughafen,Zielgruppe,Kinder ab 3 Monaten bis Kindergartenübertritt
kita; Kinderkrippe Chiselschtei;;Hamelirainstrasse 56, 8302 Kloten;Tel.: 044 810 35 40;www.chiselschtei.ch;Informationen zu:   Kinderkrippe Chiselschtei,Wir arbeiten mit Bildungs- und Lerngeschichten (BULG)
kita; Kinderkrippe Little People / Kloten;Helene Trachsel ;Fliederweg 1, 8302  Kloten;Tel.: 043 305 23 93;www.little-people.ch;Informationen zu:   Kinderkrippe Little People / Kloten,Öffnungszeiten,7.00 - 18.30 Uhr,- Mehrsprachiges Team,- Kinderprojekte,- Natur und Tier bezogen,- Turnhalle,- Musikalische Frühförderung,- Haus mit Garten
kita; Kinderkrippe Sünneli;Mirjana Petrovic ;Schaffhauserstrasse 61, 8302 Kloten;Tel.: 044 813 45 41;www.krippesuenneli.ch;Informationen zu:   Kinderkrippe Sünneli,Angebote,Früh-Englisch,Waldtage
kita; KiTa Chiselschtei;;Dietlikerstrasse 44, 8302  Kloten;Tel.: 044 651 10 11;www.chiselschtei.ch;
kita; Städtische Hort- und Krippenbetriebe Looren;Jörg Riecke ;Obstgartenstrasse 17/19, 8302 Kloten;Tel.: 044 815 16 60;www.kloten.ch/de/bildung/hortred/;Informationen zu:   Städtische Hort- und Krippenbetriebe Looren,Zielgruppe,Betreuung von Kindern und Schülern
kita; Strampolino;Alte Mühle A. Pawske ;8302  Kloten;Tel.: 043 305 27 92;www.strampolino.ch;Informationen zu:   Strampolino,Für Kinder ab 4 Monaten bis Kindergarteneintritt
kita; Chinderhuus Spatzenäscht;;Tösstalstrasse 52, 8483 Kollbrunn;Tel.: 079 530 30 04;www.spatzen.ch;
kita; Villa Chräuel;;Dorfstrasse 4, 8483 Kollbrunn;Tel.: 052 383 12 90;www.villa-chräuel.ch;
kita; Bambola Kinderbetreuung;;Poststrasse 18, 8700 Küsnacht;Tel.: 044 715 33 20;;Informationen zu:   Bambola Kinderbetreuung,Angebot:,Kinderbetreuung im Frühbereich (ab 2 Jahren)
kita; Double Decker Vorkindergarten;Bilingual PreSchool / Zweisprachige Vorschule ;Florastrasse 21, 8700 Küsnacht;Tel.: 043 817 84 33;www.doubledecker.ch;
kita; Kinderkrippe Bienehuus;;Seestrasse 134a, 8700 Küsnacht;Tel.: 044 910 04 40;www.bienehuus.ch;
kita; Kinderkrippe Fennergut;;Goldbacherstrasse 16, 8700 Küsnacht;Tel.: 043 266 70 14;www.fennergut.ch;
kita; Kinderkrippe Heslibach;;Untere Heslibachstrasse 42, 8700 Küsnacht;Tel.: 044 910 04 73;www.kuesnacht.ch;Kontakt,Sabrina Knecht,Tel.: 044 910 04 73
kita; Terra Nova Privater Kindergarten;;Florastrasse 19, 8700 Küsnacht;Tel.: 044 910 43 00;www.terra-nova.ch;
kita; Topolino ;Kindergarten im Frühbereich ;Poststrasse 18, 8700 Küsnacht;Tel.: 044 910 83 05;www.topolino-kuesnacht.ch;Informationen zu:   Topolino,Öffnungszeiten,ab 2 Jahren,halbtags mit Mittagessen
kita; Kinderkrippe Zwärgliburg;;Neue Dorfstrasse 36, 8134 Langnau am Albis;Tel.: 043 377 88 22;www.zwaergliburg.ch;
kita; Kinderhaus Strickhof (Kinderkrippe);;Eschikon 11, 8315 Lindau;Tel.: 052 345 06 23;www.kinderhausstrickhof.ch;Kontakt,Malika Petz,Tel.: 052 345 06 23
kita; Kinderkrippe Tigeränte;;Alte Landstrasse 315, 8708 Männedorf;Tel.: 044 922 22 47;;Kontakt,Margrit Kunz,Tel.: 044 922 22 47
kita; Kindertagesstätte Schatzinsel;;Glärnischstrasse 288, 8708 Männedorf;Tel.: 044 920 41 57;;
kita; Kita Purzelbaum;;Asylstrasse 50, 8708 Männedorf;Tel.: 044 790 46 91;www.maennedorf.ch/schule;Kontakt,Damaris Fischer,Tel.: 044 790 46 91
kita; Kita Zauberloki;;Mittelwiesstrasse 4, 8708 Männedorf;Tel.: 044 920 09 16;www.maennedorf.ch/schule/de/kinderbetreuung/kita/;Kontakt,Maria Lucia Voci,Tel.: 044 920 09 16
kita; SIS Swiss International School;;Seestrasse 53-57, 8708 Männedorf;Tel.: 044 921 50 50;www.swissinternationalschool.ch;Kontakt,Lisa Cummins,Tel.: 044 921 50 50,Informationen zu:   SIS Swiss International School,Zweisprachige Ganztagesschule (Deutsch, Englisch),Kindergarten (ab vier Jahren) und Primarschule,Betreuung 7.30 bis 18 Uhr,Kindergarten im Frühjahrssemester mit Waldmorgen
kita; Kindertagesstätte Zingge;Ladina Tanner ;Zinggestrasse 5, 8460 Marthalen;Tel.: 052 301 40 38;www.primarschule-marthalen.ch;"Informationen zu:   Kindertagesstätte Zingge,Öffnungszeiten,Wir bieten eine Kindertagesstätte für Kinder ab 3 Monaten bis zum Kindergarteneintritt, und in separaten Räumlichkeiten einen Hort ab Kindergarten bis 6. Klasse, an.

Betreuungsvarianten

Ganztagesbetreuung 100% 
06.30 Uhr bis 18.00 Uhr

Halbtagesbetreuung ohne Mittagessen 50%
06.30 Uhr bis 11.45 Uhr oder
14.00 Uhr bis 18.00 Uhr

Halbtagesbetreuung mit Mittagessen 70%
06.30 Uhr bis 14.00 Uhr oder
11.45 Uhr bis 18.00 Uhr"
kita; Chinderhuus Sternen;;Seestrasse 565, 8706 Meilen;Tel.: 044 923 43 42;www.verein-fee.ch;
kita; Kindertagesstätte Kindertraum-Haus;;Unot 22, 8706 Meilen;Tel.: 043 844 07 08;www.kindertraum-haus.ch;Kontakt,Sandra Taisch,Tel.: 043 844 07 08,Informationen zu:   Kindertagesstätte Kindertraum-Haus,Öffnungszeiten,Ab 7.00 Uhr offen
kita; Kinderkrippe Knirpsen Villa;Sarah Gasser und Bettina Can ;Albisstrasse 30, 8932 Mettmenstetten;Tel.: 043 466 89 18;www.knirpsen-villa.ch;Informationen zu:   Kinderkrippe Knirpsen Villa,Öffnungszeiten,Montag - Freitag: 06.30-18.30 Uhr,Zielgruppe,Kinder ab 3 Monaten bis zum 2. Kindergartenjahr
kita; Kinderkrippe Müslihuus;;Südstrasse 7, 8617 Mönchaltorf;Tel.: 043 277 85 77;www.moenchaltorf.ch;Kontakt,Ladina Tuffli,Tel.: 043 277 85 77,Informationen zu:   Kinderkrippe Müslihuus,Öffnungszeiten,Montag bis Freitag 07.00 - 18.00 Uhr,Halbtagesbetreuung,Zielgruppe,Für Kinder ab 3 Monaten bis Grundstufe (Kindergarten)
kita; Kita Zauberchischtä;;Zürichstrasse 23, 8413 Neftenbach;Tel.: 052 534 77 34;www.zauberchischte.ch;
kita; Chinderhuus Zauberwald;;Seeblerstrasse 16, 8172 Niederglatt;Tel.: 044 850 14 32;www.chinderhuus-zauberwald.ch;Kontakt,Alexandra Näf,Tel.: 044 850 14 32,Informationen zu:   Chinderhuus Zauberwald,Tagesbetreuung für Kinder ab 3 Monaten bis Kindergarteneintritt
kita; Kindertagesstätte Spielraum;;Dorfstrasse 30, 8155 Niederhasli;Tel.: 0049 175 594 4886;;Kontakt,Astrid Kessler,Tel.: 0049 175 594 4886,Email:,email,Informationen zu:   Kindertagesstätte Spielraum,Öffnungszeiten,Montag - Freitag von 7.00 - 18.00 Uhr,Information,Betreuung von Kindern im Alter von 3 Monaten bis Beginn Kindergarten
kita; Kita Niederweningen;;Binzackerweg 2, 8166 Niederweningen;Tel.: 079 442 19 43;www.krippe-hort.ch;Kontakt,Shpresa Berisha,Tel.: 043 422 89 04,Tel.: 079 442 19 43
kita; Kinderkrippe Luftballon;K. Pfaller ;Eigentalstrasse 1, 8309  Nürensdorf;Tel.: 044 554 98 16;www.kita-luftballon.ch;
kita; Kinderhaus Chäferhüsli;;Zürcherstrasse 57, 8102 Oberengstringen;Tel.: 044 750 40 23;;Kontakt,Silvia Keusen,Tel.: 044 750 40 23,Email:,email,Informationen zu:   Kinderhaus Chäferhüsli,Öffnungszeiten,Montag bis Freitag, 7.00 - 18.00 Uhr,Zielgruppe,Kinder ab 2 Monate bis 5 Jahre,Weitere Informationen,private Kinderkrippe
kita; KiTa Storch;;Zürcherstrasse 20, 8102 Oberengstringen;Tel.: 044 750 14 73;;Kontakt,Gabriella Martini,Tel.: 044 750 14 73,Email:,email,Informationen zu:   KiTa Storch,Öffnungszeiten,Montag - Freitag, 6.30 - 18.00 Uhr,Zielgruppe,Kinder ab 3 Monaten - Kindergartenalter,Weitere Informationen,Kosten:,Fr. 125.- bis 18 Monate,Fr. 115.- ab 18 Monate
kita; Kinderkrippe ,,Little Friends'';;Kaiserstuhlstrasse 34, 8154 Oberglatt;Tel.: 076 360 62 82;www.little-friends.ch;Kontakt,Danijela Pavlovic,Tel.: 044 850 06 46,Tel.: 076 360 62 82
kita; Kinderkrippe Freihofstrasse;;Freihofstrasse 7, 8942 Oberrieden;Tel.: 043 443 58 80;www.oberrieden.ch;
kita; Kinderkrippe Parkside School;;Hubstrasse 6, 8942 Oberrieden;Tel.: 044 720 42 68;www.parksideschool.ch;Informationen zu:   Kinderkrippe Parkside School,Zielgruppe,Kinder ab 3 Monaten bis 6 Jahren
kita; Kinderkrippe Hosechnöpf;;Püntstrasse 28, 8165 Oberweningen;Tel.: 043 534 15 72;www.hosechnöpf.ch;Kontakt,Manuela Rezzonico,Tel.: 043 534 15 72
kita; Kinderkrippe Tamburin;;Dorfstrasse 71, 8912 Obfelden;Tel.: 044 760 35 35;www.tamburin.ch;Informationen zu:   Kinderkrippe Tamburin,Öffnungszeiten,Montag - Freitag: 06.45-18.00 Uhr,Zielgruppe,Kinder ab 4 Monaten bis Kindergarteneintritt
kita; Osis Kinderhüeti Oerlingen;Sandra Oswald ;Loostrasse 1, 8461 Oerlingen;Tel.: 076 561 25 57;;Informationen zu:   Osis Kinderhüeti Oerlingen,Öffnungszeiten,Dienstag von 8.30 - 11.45 Uhr und von 14.15 - 17.30 Uhr,Mittwoch von 8.30 - 11.30 Uhr,Zielgruppe,Für Kinder von 1-4 Jahren
kita; Kindertagesstätte Perlä;;Schulhausstrasse 19, 8618 Oetwil am See;Tel.: 043 548 00 21;www.kita-perlä.ch;Kontakt,Marianne Ingold,Tel.: 043 548 00 21,Informationen zu:   Kindertagesstätte Perlä,Angebot:,Die Kita-Leiterin hat eine Weiterbildung im Behindertenbereich absolviert und bringt Erfahrungen zur Integration von Kindern mit Behinderung mit.
kita; Kinderkrippe Bambi Opfikon;;Earhart-Strasse 13, 8152 Opfikon;Tel.: 044 431 13 65;www.kinderkrippe-bambi.ch;Informationen zu:   Kinderkrippe Bambi Opfikon,Zielgruppe,Kinder ab 3 Monaten bis zum Kindergarteneintritt,Weitere Informationen,siehe Homepage
kita; Kinderkrippe Popcorn;Silvia Schweighofer ;Gibeleichstrasse 72, 8152 Opfikon;Tel.: 043 211 37 76;www.kita-popcorn.ch;Informationen zu:   Kinderkrippe Popcorn,Zielgruppe:,Kinder ab 2 Monaten bis 5 Jahren
kita; Kinderkrippe lovely kids;;Tulpenweg 1, 8112 Otelfingen;Tel.: 044 540 00 90;www.lovelykids.ch;Kontakt,Fabienne Ritter,Tel.: 044 540 00 90
kita; Kindertagesstätte Lollipop;;Schulrain 10, 8913 Ottenbach;Tel.: 044 776 35 53;www.ps-ottenbach.ch;Kontakt,Angela Aebersold,Email:,email,Informationen zu:   Kindertagesstätte Lollipop,Öffnungszeiten,Montag - Freitag: 07.00 - 18.30 Uhr,Zielgruppe,Kleinkinder ab 3 Monaten bis 12 Jahre
kita; KiTa Lilu;Haus Chriesibaum im GerAtrium ;Hörnlistrasse 76, 8330 Pfäffikon;Tel.: 044 950 14 80;www.kitalilu.ch;Kontakt,Claudia Leutwyler,Tel.: 044 950 14 80
kita; Lindenbaum Chinderhuus ;;Hochstrasse 32, 8330 Pfäffikon;Tel.: 044 953 33 80;www.lindenbaum.ch;Kontakt,Alexandra Fenner, pädagogische Leitung,Tel.: 044 953 33 79,Ana Maria Schlüssel, Leitung,Tel.: 044 953 33 80,Informationen zu:   Lindenbaum Chinderhuus,Öffnungszeiten,Montag-Freitag,  7.00-18.30 Uhr
kita; Kita Villa Pfungen;;Weiacherstrasse 16, 8422 Pfungen;Tel.: 052 535 85 64;www.kita-villa-pfungen.ch;
kita; Kinderkrippe Flügepilz;Cornelia Sigrist ;Dorfstrasse 11, 8197 Rafz;Tel.: 044 869 44 55;www.fluegepilz-rafz.ch;
kita; Chinderhuus Sunne KITA GmbH;;Untere Mühlestrasse 8, 8105 Regensdorf;Tel.: 079 629 63 27;www.chinderhuus-sunne.ch;Kontakt,Heidi Looser,Tel.: 079 629 63 27
kita; «Fugu» Kinderkrippe Regensdorf;;Schulstrasse 57, 8105 Regensdorf;Tel.: 043 931 51 70;www.kitafugu.ch;Kontakt,Dunia Schreiber,Tel.: 043 931 51 70,Informationen zu:   «Fugu» Kinderkrippe Regensdorf,Öffnungszeiten,Montag - Freitag von 7.00 - 18.00 Uhr,Kinder ab 3 Monaten bis und mit Kindergartenalter
kita; Kinderkrippe Bambi Regensdorf;;Watterstrasse 98, 8105 Regensdorf;Tel.:   044 401 25 22;www.kinderkrippe-bambi.ch;
kita; Kinderkrippe Riedhofstrasse;;Riedhofstrasse 125, 8105 Regensdorf;Tel.: 044 840 26 19;www.kinderkrippe-regensdorf.ch;Kontakt,Nicole Kissling,Tel.: 044 840 26 19,Informationen zu:   Kinderkrippe Riedhofstrasse,Öffnungszeiten,Montag - Freitag von 6.45 - 18.00 Uhr,Zielgruppe,ab 3 Monaten bis Schuleintritt
kita; Krippe Zoo Regensdorf;;Schulstrasse 57, 8105 Regensdorf;Tel.: 043 931 51 70;www.krippezoo.ch;
kita; Kinderkrippe Güxi;;Bodenstrasse 13, 8805 Richterswil;Tel.: 043 266 62 62;www.guexi.ch;
kita; Kita Panda Kids;Jolanda Green ;Dorfstrasse 9, 8805 Richterswil;Tel.: 043 557 61 99;www.pandakids.ch;
kita; Kita Richterswil;;Etzelstrasse 24, 8805 Richterswil;Tel.: 044 784 06 65;www.richterswil.ch;
